"Artist","Rolling_Stones_Rank","RS_Rank_Year","Spotify_Rank","Spotify_Rank_Year","Change_in_Rank","Popularity","Followers","Period_Active","Release-year of first charted record","Total certified units (US Million)","Claimed sales (US Million)","Grouped_Genre","Valence","Danceability","Speechiness"
"The Band",50,2010,72,2023,-22,59,1073212,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"The Beach Boys",12,2010,29,2023,-17,74,4360393,"1961 - 2023","1962","32.7",100,"Classic Rock",NA,NA,NA
"The Beatles",1,2010,3,2023,-2,83,26771669,"1960 - 1970","1962","100",600,"Classic Rock",0.618094009779951,0.532063447432763,0.0919095354523227
"The Byrds",45,2010,87,2023,-42,54,969561,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"The Clash",28,2010,48,2023,-20,68,2641369,"NA",NA,NA,NA,"Alternative Rock",NA,NA,NA
"The Doors",41,2010,34,2023,7,71,7602616,"1965 - 1973","1967","50.7",100,"Classic Rock",NA,NA,NA
"The Drifters",81,2010,65,2023,16,63,508091,"NA",NA,NA,NA,"Rock and Roll",NA,NA,NA
"The Everly Brothers",33,2010,73,2023,-40,58,905281,"NA",NA,NA,NA,"Rock and Roll",NA,NA,NA
"The Four Tops",79,2010,68,2023,11,62,1093692,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"The Kinks",65,2010,59,2023,6,64,2510376,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"The Police",70,2010,26,2023,44,75,5818844,"1977 - 2008","1978","42.2",75,"Classic Rock",NA,NA,NA
"The Ramones",26,2010,57,2023,-31,65,2543649,"NA",NA,NA,NA,"Alternative Rock",NA,NA,NA
"The Rolling Stones",4,2010,16,2023,-12,78,13612997,"1962 - 2023","1963","103.2",200,"Classic Rock",NA,NA,NA
"The Sex Pistols",60,2010,89,2023,-29,53,1736919,"NA",NA,NA,NA,"Alternative Rock",NA,NA,NA
"The Shirelles",76,2010,91,2023,-15,51,298466,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"The Stooges",78,2010,93,2023,-15,49,601926,"NA",NA,NA,NA,"Alternative Rock",NA,NA,NA
"The Temptations",68,2010,49,2023,19,67,2853625,"NA",NA,NA,NA,"Soul",NA,NA,NA
"The Velvet Underground",19,2010,67,2023,-48,62,1841163,"NA",NA,NA,NA,"Alternative Rock",0.512033333333333,0.464388461538462,0.0519108974358974
"The Who",29,2010,54,2023,-25,66,5250967,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"The Yardbirds",89,2010,94,2023,-5,46,940747,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Tina Turner",63,2010,45,2023,18,69,3867630,"1958 - 2009","1960","37.6",100,"Alternative Rock",NA,NA,NA
"Tom Petty",91,2010,43,2023,48,70,2427497,"1976 - 2017","1977","36",80,"Classic Rock",NA,NA,NA
"Tupac Shakur",86,2010,15,2023,71,78,16959142,"1991 - 1996","1991","62.6",75,"HipHop_R&B_Rap",0.589227247191011,0.750176966292135,0.223498314606742
"U2",22,2010,21,2023,1,77,11808255,"1976 - 2023","1980","115.1",150,"Alternative Rock",0.434165595463138,0.481109640831758,0.0465385633270321
"Van Morrison",42,2010,35,2023,7,71,3048004,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
